distance_km,weight_kg,volume_cbm,cargo_type,transport_mode,season,price
3214.86,16658.71,60.71,FRAGILE,SEA,4,8748.21
8083.54,15385.9,71.8,FRAGILE,ROAD,4,41967.68
6235.35,917.98,22.92,STANDARD,SEA,2,10492.76
5108.66,10985.81,56.43,STANDARD,SEA,1,9624.13
1368.36,12228.24,51.67,STANDARD,ROAD,1,4446.98
1368.15,12822.45,75.04,STANDARD,AIR,1,12511.19
540.81,18607.5,81.59,HAZARDOUS,RAIL,1,2476.96
7369.19,17121.92,1.59,STANDARD,ROAD,2,26041.15
5129.42,19492.17,60.82,FRAGILE,SEA,2,11427.18
6033.21,24499.78,5.14,PERISHABLE,ROAD,2,29643.92
223.94,26034.25,49.62,STANDARD,SEA,2,500.0
8245.74,23008.13,26.24,STANDARD,SEA,1,15551.09
7084.14,30581.21,27.96,STANDARD,AIR,4,94091.15
1844.27,681.62,32.09,FRAGILE,RAIL,3,5720.28
1586.42,6345.32,56.11,FRAGILE,RAIL,2,4637.34
1599.77,341.26,30.4,STANDARD,SEA,4,3038.14
2620.85,20754.44,66.08,FRAGILE,ROAD,2,11587.42
4484.19,28747.17,36.71,PERISHABLE,RAIL,1,17759.94
3699.94,7867.09,6.62,STANDARD,RAIL,1,8406.08
2510.89,29672.4,70.65,STANDARD,ROAD,4,11743.02
5220.16,2022.53,26.08,PERISHABLE,RAIL,4,19126.13
1228.72,29908.51,39.23,FRAGILE,SEA,4,3625.01
2518.62,11316.76,61.85,PERISHABLE,SEA,1,6149.15
3145.76,3335.32,30.25,FRAGILE,ROAD,1,12016.16
3903.79,15599.31,5.56,HAZARDOUS,ROAD,3,20122.2
6684.74,8291.17,33.97,STANDARD,ROAD,4,23288.56
1737.24,9187.45,85.03,HAZARDOUS,SEA,3,5547.4
4395.28,9902.55,57.94,PERISHABLE,ROAD,2,20878.27
5055.9,25716.53,60.6,FRAGILE,SEA,3,13742.33
442.51,17299.24,57.09,STANDARD,ROAD,2,1624.97
5183.75,10030.72,18.31,STANDARD,SEA,2,8340.93
1490.93,19569.65,37.94,STANDARD,RAIL,3,4338.15
599.69,22945.21,67.71,STANDARD,SEA,4,1268.45
8068.08,8796.71,9.57,STANDARD,ROAD,2,25261.02
8209.59,13292.22,25.37,FRAGILE,SEA,4,19219.56
6880.96,3988.17,25.23,FRAGILE,ROAD,1,24641.18
2623.99,5878.66,39.17,STANDARD,SEA,2,4566.02
875.33,21827.66,88.24,FRAGILE,SEA,1,1992.84
5831.77,5887.88,6.54,STANDARD,ROAD,3,16559.5
3769.29,16852.71,46.92,STANDARD,SEA,4,7651.01
1081.22,22718.58,16.55,STANDARD,SEA,3,2191.81
4234.24,3509.37,87.38,FRAGILE,ROAD,2,20335.63
340.58,18197.26,10.64,STANDARD,RAIL,1,844.77
7733.76,8284.35,36.62,STANDARD,ROAD,2,23908.9
2236.69,30817.37,66.54,STANDARD,SEA,3,5015.89
5648.31,15525.11,63.56,HAZARDOUS,SEA,4,18069.83
2683.96,25811.16,38.33,STANDARD,ROAD,4,11626.77
4444.57,17652.23,31.51,FRAGILE,RAIL,2,15043.22
4669.7,1484.86,36.09,FRAGILE,SEA,2,9823.31
1612.02,20297.53,24.15,HAZARDOUS,AIR,1,22296.62
8242.99,30449.77,18.88,PERISHABLE,RAIL,3,34562.27
6599.87,19291.42,43.73,STANDARD,AIR,2,58871.2
7988.77,26232.12,24.53,STANDARD,RAIL,1,23173.62
7611.29,28306.19,26.23,PERISHABLE,RAIL,2,31424.11
5102.25,7375.74,59.28,STANDARD,SEA,4,11100.5
7839.84,6864.23,87.18,FRAGILE,RAIL,1,30679.1
797.76,19590.29,54.53,FRAGILE,RAIL,1,2612.59
1706.06,13211.81,7.39,FRAGILE,RAIL,2,5486.07
432.17,26891.58,7.26,PERISHABLE,SEA,3,1194.38
2799.04,28810.74,85.65,PERISHABLE,SEA,4,9176.91
3334.32,11374.14,27.11,HAZARDOUS,RAIL,3,12308.98
2342.9,7656.17,8.74,STANDARD,ROAD,1,7217.63
7052.83,24998.76,54.11,PERISHABLE,RAIL,3,29763.47
3064.57,8866.31,56.32,STANDARD,SEA,1,5615.74
2423.9,26341.4,58.54,STANDARD,ROAD,3,9781.48
4635.78,13617.25,24.43,PERISHABLE,SEA,2,11052.83
1240.81,21394.84,1.85,STANDARD,RAIL,3,3555.31
6828.56,3147.58,86.87,STANDARD,ROAD,1,25443.86
679.95,20001.11,22.95,STANDARD,ROAD,4,2982.56
8389.19,14511.39,61.0,PERISHABLE,ROAD,4,44472.7
6575.47,18812.81,63.74,FRAGILE,AIR,4,88729.17
1729.15,5459.65,55.1,FRAGILE,ROAD,1,7746.8
96.66,23606.27,28.51,STANDARD,ROAD,3,500.0
6940.65,27623.23,24.76,HAZARDOUS,RAIL,4,32997.55
6022.94,7014.0,53.99,HAZARDOUS,ROAD,4,35301.11
6210.11,3153.29,78.02,STANDARD,ROAD,4,25037.74
6567.23,854.07,85.23,STANDARD,ROAD,2,25381.64
675.68,20578.89,9.98,STANDARD,RAIL,1,1860.22
3079.04,19466.3,14.36,PERISHABLE,SEA,1,7436.18
1029.09,17539.65,85.05,FRAGILE,RAIL,1,3549.49
7343.22,7499.11,66.42,PERISHABLE,RAIL,1,28718.62
5316.87,12569.9,79.53,STANDARD,AIR,1,46492.16
2846.09,19063.8,18.64,HAZARDOUS,RAIL,2,11766.16
587.07,15946.86,53.09,HAZARDOUS,ROAD,3,3076.14
2677.8,31610.36,63.25,FRAGILE,ROAD,2,12951.99
2797.8,4452.43,61.37,PERISHABLE,RAIL,4,11623.75
6215.17,22275.11,37.03,STANDARD,SEA,2,11857.34
5437.36,12997.77,1.88,STANDARD,ROAD,1,16742.81
7546.95,13759.57,52.67,FRAGILE,SEA,2,17762.71
4040.22,22991.37,23.15,HAZARDOUS,ROAD,1,21290.39
1060.57,22188.71,40.8,FRAGILE,RAIL,2,3362.6
6076.92,31721.07,86.2,STANDARD,SEA,1,13648.78
6478.63,4195.78,36.21,FRAGILE,ROAD,4,28531.48
4792.79,3421.1,75.66,STANDARD,SEA,1,9300.21
6564.67,23206.41,17.37,STANDARD,ROAD,2,22462.15
4222.57,18550.54,60.69,FRAGILE,SEA,4,11787.14
4467.09,8845.73,87.94,HAZARDOUS,ROAD,2,24659.34
3662.72,2633.48,9.62,STANDARD,SEA,4,6234.68
264.79,2832.5,1.24,STANDARD,ROAD,3,799.2
961.68,28624.69,39.31,STANDARD,SEA,3,2109.57
315.58,6220.57,8.79,STANDARD,RAIL,3,740.99
5427.67,10415.55,67.48,HAZARDOUS,SEA,2,14107.28
2706.31,7330.34,82.35,PERISHABLE,ROAD,2,13481.86
4347.42,11424.38,39.34,STANDARD,AIR,4,42572.34
7718.94,2314.62,23.65,HAZARDOUS,ROAD,4,37631.57
2156.52,16658.01,39.38,PERISHABLE,ROAD,4,11201.57
3517.74,2256.84,65.25,HAZARDOUS,RAIL,4,16686.46
6434.41,25631.37,1.31,STANDARD,ROAD,1,25315.88
1983.34,7555.42,53.26,PERISHABLE,ROAD,3,9033.75
700.48,17326.38,55.39,STANDARD,AIR,1,7016.54
2498.4,28174.52,57.57,STANDARD,AIR,1,27160.18
1412.32,20862.99,22.16,STANDARD,RAIL,1,3863.55
7905.95,17101.35,64.41,STANDARD,AIR,1,75738.95
6878.62,10446.25,8.68,STANDARD,RAIL,3,18826.7
5402.26,10722.76,18.33,STANDARD,ROAD,1,15941.7
7413.84,21456.63,79.03,STANDARD,SEA,4,16783.31
6841.03,31813.05,66.62,HAZARDOUS,SEA,2,19177.01
